Company,Confidence,Primary Category,Subcategory,Reasoning,Source
Akeneo,78%,Core COSS Companies,Open-Core Product Companies,Akeneo develops and commercially monetizes a Product Information Management (PIM) product with an open-source community edition as the core  while offering proprietary enterprise features and subscriptions for revenue. This fits the open-core model where the company controls the product’s IP and monetizes extensions/support around an open-source base rather than primarily hosting third-party OSS or selling unrelated infrastructure.,OSS Capital
Akiban Technologies,52%,Core COSS Companies,Open-Core Product Companies,Akiban Technologies is best known for building and commercializing a database technology (Akiban SQL / foundation for later products)  which aligns most closely with a company monetizing software it developed rather than acting as a neutral infrastructure  community  or investment entity. However  publicly available evidence of a sustained open-source-led monetization model is limited and the company appears to have been acquired  so the classification is moderately confident rather than high.,Serena
Akuity,74%,Core COSS Companies,Open-Core Product Companies,Akuity commercializes Argo CD–based GitOps capabilities  offering enterprise-grade features and support around an open-source core they are closely associated with and help advance. Their business model centers on monetizing software value (enterprise features and services) directly tied to an OSS project rather than generic infrastructure  community governance  or pure consulting.,OSS Capital
Alachisoft,55%,Core COSS Companies,Open-Core Product Companies,Alachisoft is primarily known for NCache  a distributed cache product sold as commercial software  indicating its main revenue comes from selling and supporting the product rather than from generic infrastructure or consulting. Because the product is commercial and the company appears to control its IP (as opposed to packaging an external OSS project)  it best aligns with an open-core style product company within the COSS taxonomy  though confidence is moderate due to limited evidence of a clearly governed open-source “core” in current positioning.,Serena
Alchemy,74%,Ecosystem Infrastructure Providers (Catalysts),Specialized Infrastructure Providers,Alchemy is primarily known for providing developer infrastructure and APIs (not an OSS product business) to build on blockchain ecosystems  which functions as enabling infrastructure rather than monetizing an open-source core. While it serves communities that use open-source components  its revenue model centers on providing managed infrastructure/platform services that accelerate adoption and development rather than distributing or owning a specific open-source software product.,Serena
Aleph Alpha,48%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Aleph Alpha is primarily an AI model and platform company (LLMs and enterprise AI solutions) and is not principally defined by developing and monetizing an open source software product as its core business model. While it may use and integrate with open source components in its stack  its revenue model centers on proprietary AI services/platform offerings rather than OSS distribution  hosting  or OSS-first consulting. Given the taxonomy options  it fits best as an adjacent technology provider enabling software (including OSS) adoption through integration-oriented platform capabilities rather than a Core COSS company.,OSS Capital
Aleph.im/ Aleph Cloud,73%,Core COSS Companies,Managed Open Source (Cloud) Providers,Aleph Cloud commercializes a hosted/decentralized cloud offering (compute/storage/networking) built around the Aleph.im open-source protocol and software stack  monetizing by providing managed infrastructure services rather than primarily selling licenses. This fits the “Managed Open Source (Cloud) Providers” definition because the main value is operating/hosting the technology as a service for users  even though they also develop and publish core OSS components.,OSS Capital
Alfresco,83%,Core COSS Companies,Open-Core Product Companies,Alfresco is best known for its open-source-based enterprise content management platform and monetizes primarily through enterprise subscriptions/support and proprietary enterprise features around an open-source core it stewards. That aligns with a Core COSS model where the company controls the product direction and sells commercial editions rather than merely packaging third-party OSS or providing generic infrastructure.,Serena
Alice.com,30%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Alice.com is best known as an email productivity/AI assistant product (not an open-source software vendor  distribution  foundation  or investor)  which places it adjacent to the OSS ecosystem rather than “Core COSS.” However  I do not have reliable evidence that Alice.com provides OSS-focused integration/middleware or monetizes an open-source project  so this classification is low-confidence based on limited publicly verifiable details.,Serena
AllSource Analysis,72%,Market and Data Analytics Providers,Market Research and Advisory Firms,AllSource Analysis appears to be positioned as an analysis/research entity rather than a company primarily monetizing  distributing  or hosting an open source software product. Based on the name and likely business focus  it best matches providers of research  benchmarking  and advisory insights relevant to the OSS/COSS ecosystem rather than infrastructure  tooling  or a core OSS commercialization model.,Serena
Alluxio,78%,Core COSS Companies,Open-Core Product Companies,Alluxio’s core business centers on the Alluxio data orchestration/virtualization software  which originated as an open source project and is commercialized via an enterprise offering. This aligns with an open-core model where the company monetizes proprietary enterprise features  support  and deployments around an open-source core they control.,Both
Alokit Innovations Private Limited (Vibinex),33%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information is insufficient to confirm that Vibinex’s primary business model is developing/monetizing a specific open source product (Core COSS) or providing essential OSS infrastructure/tooling (Catalyst). Given the company framing as an innovations/software entity and the common positioning of similar firms around implementation and interoperability  the closest fit in this taxonomy is an adjacent integration/middleware provider  but this classification is low-confidence without clarity on product/revenue model and OSS involvement.,Serena
AlphaOmega,66%,Open Source Funders and Investors,Angel Syndicates and Accelerators,AlphaOmega is best known as a funding organization that supports open source maintainers and projects via grants rather than selling  distributing  or hosting an open source software product. This aligns most closely with the taxonomy’s “Funders and Investors” category  specifically an accelerator/angel-style model focused on early-stage financial support for OSS ecosystem participants.,OSS Capital
Altinity,74%,Core COSS Companies,Managed Open Source (Cloud) Providers,Altinity’s business centers on ClickHouse  providing enterprise support and a managed/hosted offering (Altinity.Cloud) rather than selling a standalone proprietary software product as the primary monetization. They build and operate services around an open source database they do not solely control  which aligns best with a managed open source provider in the COSS taxonomy.,Both
amazee.io,74%,Core COSS Companies,Managed Open Source (Cloud) Providers,amazee.io’s primary offering is a managed hosting/platform service centered on open source web stacks (notably Drupal and related tooling)  providing hosting  operations  and support rather than monetizing a proprietary open-core product. This aligns best with “Managed Open Source (Cloud) Providers” because revenue is mainly from running and managing OSS-based infrastructure/services for customers rather than distributing a distinct OSS product they control.,Serena
Ambassador,74%,Core COSS Companies,Open-Core Product Companies,Ambassador (via the Ambassador Edge Stack/API gateway and related tooling) is primarily monetized as a commercial product built around an open source core (Envoy-based gateway/ingress capabilities)  with paid enterprise features and support. This aligns with the open-core model where the company controls the product direction/IP of the core distribution and sells proprietary extensions rather than merely packaging external OSS or operating a hosted managed service as the main business.,Both
Ambient,62%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Ambient is best classified as an observability/monitoring company: it provides tooling to watch and analyze systems rather than monetizing a specific open source project as its primary product. This aligns with the “Adjacent Software and Technology Companies” definition  where revenue typically comes from a SaaS platform that supports OSS adoption (monitoring  tracing  alerting) rather than distributing or commercially supporting an OSS core. Confidence is moderate because multiple companies use the name “Ambient ” but the strongest match in the COSS ecosystem context is observability.,Serena
Amplication,74%,Core COSS Companies,Open-Core Product Companies,Amplication’s primary offering is an open-source developer platform for generating and maintaining application backends  and the company monetizes the product via commercial offerings around that OSS core. Because it develops and controls the core project and sells enhanced capabilities/services around it  it fits the open-core product company pattern rather than a third-party OSS distributor or managed provider.,OSS Capital
Anaconda,82%,Core COSS Companies,Open Source Distribution Companies,Anaconda’s primary business centers on distributing and packaging open source data science software (notably the Python ecosystem) and providing enterprise offerings around that distribution (e.g.  curated repositories  management  and support). This aligns with an Open Source Distribution Company because it monetizes packaging  governance  and enterprise-grade distribution of largely externally developed OSS rather than primarily selling proprietary extensions of a single OSS product it controls.,Serena
Anant Corporation,22%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Anant Corporation” is an ambiguous name with multiple possible companies globally  and there is no provided evidence that its primary business model centers on monetizing an open source product  distributing OSS  or running managed OSS services. In the absence of specific OSS product ownership or a clear cloud/hosting offering  the closest fit in this taxonomy is an adjacent technology/services firm that likely delivers integration or IT solutions around existing software stacks. Please share the company’s website or a short description of products/services to refine the classification and confidence.,Serena
Anchore,82%,Adjacent Software and Technology Companies,Security and Compliance Tools,Anchore primarily provides software to scan container images and SBOMs and manage vulnerability and supply-chain risk  which aligns with tools that protect and secure OSS usage rather than a distribution or hosted OSS service. While it has open source components (e.g.  Syft/Grype)  its commercial positioning is centered on security/compliance capabilities delivered as a product  fitting the “Security and Compliance Tools” adjacent category.,OSS Capital
Ankeo,15%,Unknown / Insufficient Information,Unclassified,I don’t have reliable  verifiable information about an entity named “Ankeo” (industry  products  business model  or open-source involvement) to apply the taxonomy’s revenue/ownership tests. With no evidence that it develops  distributes  hosts  funds  or provides tooling/services around open source software  a confident COSS ecosystem classification isn’t possible.,Serena
Anno,42%,Adjacent Software and Technology Companies,Security and Compliance Tools,“Anno” most commonly refers to a code-annotation/security-marking tool used to help control or validate how applications and data are handled  which aligns best with security/compliance tooling that supports OSS adoption rather than monetizing an OSS product itself. However  the name is ambiguous across multiple products/companies  so this classification is based on the most prevalent usage and may change with more specific context (website  product description  or jurisdiction).,OSS Capital
Anoma,55%,Core COSS Companies,Open-Core Product Companies,Anoma develops a specific software protocol/stack (focused on privacy-preserving  intent-centric applications) and positions itself around building and maintaining that core technology  which aligns more with a product-centric COSS company than with infrastructure  services-only  or governance roles. Public information suggests open-source components around the Anoma protocol  while commercialization likely comes from proprietary extensions  ecosystem products  or related offerings rather than pure consulting or generic hosting—consistent with an open-core pattern  though the exact revenue model is not fully explicit.,Serena
Anomali,76%,Adjacent Software and Technology Companies,Security and Compliance Tools,Anomali primarily sells a commercial cybersecurity platform focused on threat intelligence management  detection  and response rather than developing or monetizing an open-source software core. While it may integrate with open-source tools and ecosystems  its revenue model is centered on proprietary security software that supports and protects broader IT/OSS deployments  fitting the Security and Compliance Tools adjacent category.,Serena
Anteon,44%,Core COSS Companies,Open-Core Product Companies,Anteon is best classified as a Core COSS company because it appears to be primarily centered on delivering a software product rather than infrastructure  funding  or pure community governance. It most closely fits the Open-Core Product Company pattern (open-source core with commercial monetization around it)  but confidence is moderate because “Anteon” is ambiguous and multiple entities share this name; a precise match to the specific Anteon you mean isn’t fully verifiable from the provided input.,Serena
Antmicro,78%,Core COSS Companies,Open Source Service & Consulting Specialists,Antmicro primarily generates revenue from engineering services—consulting  custom development  systems integration  and productization—often centered on open-source hardware/software (e.g.  embedded  FPGA/SoC  tooling) rather than selling a single proprietary software product. They contribute to and maintain open-source projects  using OSS as the foundation for paid delivery and support  which fits the service & consulting specialist definition better than open-core or managed hosting.,Serena
Anyscale,74%,Core COSS Companies,Managed Open Source (Cloud) Providers,Anyscale is the commercial company behind Ray  an open-source distributed computing framework  and primarily monetizes it via a hosted/managed offering (Anyscale Platform) plus enterprise support. This aligns best with “Managed Open Source (Cloud) Providers” because the revenue center is operating Ray as a service rather than only selling proprietary add-ons. While it also guides core Ray development  the go-to-market emphasis is on managed infrastructure for an OSS technology.,Both
AOE,62%,Core COSS Companies,Open Source Service & Consulting Specialists,AOE is best characterized as an IT services/engineering consultancy that delivers implementation  integration  and support around open source technologies rather than monetizing a single proprietary product or owning an open-core IP. This aligns with the “Service & Consulting Specialists” model where revenue primarily comes from consulting and project delivery for customers adopting OSS.,Serena
Aortem,42%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information about Aortem’s primary revenue model and any owned/open-source product is limited  making a precise COSS classification uncertain. Based on the name and typical positioning of similarly branded firms  Aortem appears more likely to provide enabling software/services around enterprise systems (integration/middleware) rather than monetizing a specific open-source core product. If Aortem instead operates a managed OSS service or sells an open-core product  the classification would shift to “Managed Open Source (Cloud) Providers” or “Open-Core Product Companies ” respectively.,Serena
Apache Kafka,78%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Apache Kafka is an open source project governed under the Apache Software Foundation  which provides stewardship  licensing  and community governance rather than monetizing the software directly. Kafka itself is not a company with a revenue model; commercial monetization is typically done by separate vendors (e.g.  managed service providers or open-core companies) built around the project.,Serena
APITable,74%,Core COSS Companies,Open-Core Product Companies,APITable develops and distributes an open-source “Airtable-like” database/spreadsheet product and monetizes it through a commercial offering (e.g.  hosted/cloud or enterprise features)  which aligns with a primary business model centered on an OSS core. Because the company appears to control the core project and sells value-added capabilities around it rather than merely packaging someone else’s OSS  it best fits the open-core product company definition.,OSS Capital
Apollo GraphQL,72%,Core COSS Companies,Open-Core Product Companies,Apollo GraphQL’s business centers on the Apollo GraphQL open-source core (e.g.  Apollo Server/Client) paired with monetized proprietary/paid offerings such as Apollo Studio and Apollo Federation/GraphOS capabilities aimed at enterprise GraphQL operations. This aligns with an open-core model where the company controls and advances the core OSS while selling commercial extensions and services around it.,Both
Appcelerator,72%,Core COSS Companies,Open-Core Product Companies,Appcelerator built and commercialized a developer platform (notably Titanium/Appcelerator Platform) that had an open-source core with paid enterprise offerings and services around it. Its primary business was centered on developing and monetizing that software platform  which aligns best with an open-core product company rather than a pure services firm or infrastructure provider.,Serena
AppFlower,35%,Core COSS Companies,Open-Core Product Companies,AppFlower appears to be a software product company name rather than a foundation  investor  infrastructure provider  or services-only firm  so the closest fit is a Core COSS company. However  I do not have reliable information confirming that AppFlower develops and controls an open-source core with proprietary extensions (open-core)  so this classification is tentative and low-confidence based on limited public context.,Serena
AppFlowy,0-1,Core COSS Companies,Open-Core Product Companies,AppFlowy develops and distributes an open-source productivity/workspace application as its core product  fitting the definition of a company whose primary business centers on an OSS product it controls. It is positioned to monetize via hosted offerings and/or proprietary add-ons around that OSS core  which aligns best with the open-core product company model rather than distribution  consulting  or infrastructure.,OSS Capital
Appium,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Appium is primarily an open source automation framework/project rather than a commercial company with a revenue-driven product or hosted service  so it doesn’t fit Core COSS or Infrastructure provider categories. It is stewarded under the OpenJS Foundation  aligning it most closely with ecosystem governance and community facilitation rather than monetization.,Serena
Appnovation,78%,Core COSS Companies,Open Source Service & Consulting Specialists,Appnovation’s primary business is delivering consulting  integration  and implementation services around open source and digital experience technologies (e.g.  Drupal  Magento  Mulesoft  etc.)  rather than monetizing a proprietary open-core product it controls. This aligns best with revenue coming from services and consulting tied to OSS adoption and customization  matching the “Open Source Service & Consulting Specialists” definition.,Serena
Appscio,42%,Core COSS Companies,Open-Core Product Companies,Appscio is best known for Kubernetes-related application management tooling and an open-source core offering  positioned as a commercial product around that core. That fits the “developing and monetizing open source software” pattern  most consistent with an open-core approach rather than pure consulting or a managed-hosted OSS service. Confidence is moderate because public information about Appscio’s current go-to-market and revenue mix is limited and the company’s status/branding has shifted over time.,Serena
Appsmith,86%,Core COSS Companies,Open-Core Product Companies,Appsmith’s primary business centers on an open-source low-code/internal tools platform that it develops and controls  with monetization driven by paid offerings around that core (e.g.  enterprise features/support). This aligns with the open-core model where an OSS core is complemented by proprietary capabilities for commercial customers.,OSS Capital
Appwrite,78%,Core COSS Companies,Open-Core Product Companies,Appwrite develops and maintains an open-source backend platform (serverless/BaaS-style) that it controls  and its business is centered on monetizing that product via hosted offerings and/or paid tiers rather than merely packaging third-party OSS. This fits Core COSS  and the control of the core project plus monetization through proprietary/paid features or managed service aligns best with the Open-Core Product Company subcategory.,Both
Apriori,44%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Apriori is best known as a manufacturing/enterprise software platform (product cost management and related PLM/ERP integrations)  which supports and connects to broader IT stacks rather than monetizing an open-source product directly. There isn’t clear evidence that its primary business model is developing/distributing a controlled open-source core or providing managed open-source services  so it fits most closely as adjacent enterprise software focused on integration into existing systems.,Serena
Apromore,66%,Core COSS Companies,Open-Core Product Companies,Apromore is best known for the Apromore process mining platform  which has an open-source core and a commercial offering aimed at enterprises. This aligns with an open-core model where the company monetizes proprietary/enterprise features  support  and packaging around software it develops and controls. The fit is stronger than “services/consulting” or “managed OSS provider” because the product itself is central to the business.,OSS Capital
