project,description,ended,homepage,name,started,status
apisix,"APISIX is a cloud-native microservices API gateway, delivering the ultimate performance, security,open source and scalable platform for all your APIs and microservices.",2020-07,http://apisix.incubator.apache.org/,Apache APISIX (Incubating),2019-10,graduated
apollo,A robust implementation of the OASIS WS-ResourceFramework (WSRF) family of specifications,2005-06,http://apollo.incubator.apache.org/,Apache Apollo (Incubating),2004-11,graduated
ariatosca,ARIA TOSCA project offers an easily consumable Software Development Kit(SDK) and a Command Line Interface(CLI) to implement TOSCA(Topology and Orchestration Specification of Cloud Applications) based solutions.,2018-07,http://ariatosca.incubator.apache.org/,Apache AriaTosca (Incubating),2016-08,retired
aries,The Aries project will deliver a set of pluggable Java components enabling an enterprise OSGi application programming model.,2010-12,http://aries.incubator.apache.org/,Apache Aries (Incubating),2009-09,graduated
asterixdb,"Apache AsterixDB is a scalable big data management system (BDMS) that provides storage, management, and query capabilities for large collections of semi-structured data.",2016-04,http://asterixdb.incubator.apache.org/,Apache AsterixDB (Incubating),2015-02,graduated
atlas,Apache Atlas is a scalable and extensible set of core foundational governance services that enables enterprises to effectively and efficiently meet their compliance requirements within Hadoop and allows integration with the complete enterprise data ecosystem,2017-06,http://atlas.incubator.apache.org/,Apache Atlas (Incubating),2015-05,graduated
aurora,Aurora is a service scheduler used to schedule jobs onto Apache Mesos.,2015-03,http://aurora.incubator.apache.org/,Apache Aurora (Incubating),2013-10,graduated
awf,"
            AWF is a non-blocking, asynchronous, event driven high performance web framework running on the JVM.
            (Note: originally known as Deft, renamed to AWF on 2012-02-15)
        ",2012-09,http://awf.incubator.apache.org/,Apache AWF (Incubating),2011-07,retired
axion,Relational database engine written in Java.,2006-01,http://axion.incubator.apache.org/,Apache Axion (Incubating),2003-12,retired
batchee,"
            BatchEE projects aims to provide a JBatch implementation (aka JSR352)
            and a set of useful extensions for this specification.
        ",2019-12,http://batchee.incubator.apache.org/,Apache BatchEE (Incubating),2013-10,graduated
beam,"Apache Beam is an open source, unified model and set of language-specific SDKs for defining and executing data processing workflows, and also data ingestion and integration flows, supporting Enterprise Integration Patterns (EIPs) and Domain Specific Languages (DSLs). Dataflow pipelines simplify the mechanics of large-scale batch and streaming data processing and can run on a number of runtimes like Apache Flink, Apache Spark, and Google Cloud Dataflow (a cloud service). Beam also brings DSL in different languages, allowing users to easily implement their data integration processes.",2016-12,http://beam.incubator.apache.org/,Apache Beam (Incubating),2016-02,graduated
beanvalidation,The Bean Validation project will create an implementation of Bean Validation as defined by the Java EE specifications.,2012-02,http://beanvalidation.incubator.apache.org/,Apache Bean Validation (Incubating),2010-03,graduated
beehive,"Extensible Java application framework with an integrated metadata-driven programming model for web services, web applications, and resource access",2005-07,http://beehive.incubator.apache.org/,Apache Beehive (Incubating),2004-05,graduated
bigtop,Bigtop is a project for the development of packaging and tests of the Hadoop ecosystem.,2012-09,http://bigtop.incubator.apache.org/,Apache Bigtop (Incubating),2011-06,graduated
bloodhound,"Bloodhound is a software development collaboration tool, including issue tracking, wiki and repository browsing.",2013-03,http://bloodhound.incubator.apache.org/,Apache Bloodhound (Incubating),2011-12,graduated
bluemarlin,BlueMarlin will develop a web service to add intelligence functionality to a plain ad system.,2022-03,http://bluemarlin.incubator.apache.org/,Apache BlueMarlin (Incubating),2020-06,retired
bluesky,Distance learning collaboration tool,2011-07,http://bluesky.incubator.apache.org/,Apache Bluesky (Incubating),2008-01,retired
blur,"
            Blur is a search platform capable of searching massive amounts of data
            in a cloud computing environment.
        ",2017-06,http://blur.incubator.apache.org/,Apache Blur (Incubating),2012-07,retired
brooklyn,"
            Brooklyn is a framework for modelling, monitoring, and managing applications
            through autonomic blueprints.
        ",2015-11,http://brooklyn.incubator.apache.org/,Apache Brooklyn (Incubating),2014-05,graduated
brpc,brpc is an industrial-grade RPC framework for building reliable and high-performance services.,2022-12,http://brpc.incubator.apache.org/,Apache brpc (Incubating),2018-11,graduated
buildr,Buildr is a simple and intuitive build system for Java projects written in Ruby.,2009-02,http://buildr.incubator.apache.org/,Apache Buildr (Incubating),2007-11,graduated
calcite,"Calcite is a highly customizable engine for parsing and planning queries on data in a wide variety of formats. It allows database-like access, and in particular a SQL interface and advanced query optimization, for data not residing in a traditional database. (Renamed from Optiq on 2014-09-30.)",2015-10,http://calcite.incubator.apache.org/,Apache Calcite (Incubating),2014-05,graduated
carbondata,"Apache CarbonData is a new Apache Hadoop native file format for faster interactive query using advanced columnar storage, index, compression and encoding techniques to improve computing efficiency, in turn it will help speedup queries an order of magnitude faster over PetaBytes of data.",2017-04,http://carbondata.incubator.apache.org/,Apache CarbonData (Incubating),2016-06,graduated
cassandra,Cassandra,2010-02,http://cassandra.incubator.apache.org/,Apache Cassandra (Incubating),2009-01,graduated
cayenne,Robust Persistence,2006-12,http://cayenne.incubator.apache.org/,Apache Cayenne (Incubating),2006-03,graduated
celeborn,"Celeborn is an intermediate data service for big data computing engines to boost performance, stability, and flexibility.",2024-03,http://celeborn.incubator.apache.org/,Apache Celeborn (Incubating),2022-10,graduated
celix,Celix is an OSGi like implementation in C with a distinct focus on interoperability between Java and C.,2014-07,http://celix.incubator.apache.org/,Apache Celix (Incubating),2010-11,graduated
chemistry,Chemistry,2010-02,http://chemistry.incubator.apache.org/,Apache Chemistry (Incubating),2009-04,graduated
chukwa,Chukwa is a log collection and analysis framework for Apache Hadoop clusters.,2013-09,http://chukwa.incubator.apache.org/,Apache Chukwa (Incubating),2010-07,graduated
clerezza,an OSGi-based modular application and set of components (bundles) for building RESTFul Semantic Web applications and services.,2013-02,http://clerezza.incubator.apache.org/,Apache Clerezza (Incubating),2009-11,graduated
click,Component based Java Web Framework,2009-11,http://click.incubator.apache.org/,Apache Click (Incubating),2008-07,graduated
climate,"A tool for scalable comparison of remote sensing observations to climate model outputs, regionally and globally.",2014-02,http://climate.incubator.apache.org/,Apache Open Climate Workbench (Incubating),2013-02,graduated
cloudstack,"CloudStack is an IaaS (""Infrastracture as a Service"") cloud orchestration platform.",2013-03,http://cloudstack.incubator.apache.org/,Apache CloudStack (Incubating),2012-04,graduated
cmda,"
            CMDA provides web services for multi-aspect physics-based and phenomenon-oriented climate model performance evaluation and diagnosis through the comprehensive and synergistic use of multiple observational data, reanalysis data, and model outputs.
        ",2017-02,http://cmda.incubator.apache.org/,Apache Climate Model Diagnostic Analyzer (Incubating),2015-05,retired
commonsrdf,Commons RDF is a set of interfaces and classes for RDF 1.1 concepts and behaviours.  The commons-rdf-api module defines interfaces and testing harness.  The commons-rdf-simple module provides a basic reference implementation to exercise the test harness and clarify API contracts.,2016-11,http://commonsrdf.incubator.apache.org/,Apache CommonsRDF (Incubating),2015-03,graduated
composer,Embeddable IoC container,2008-05,http://composer.incubator.apache.org/,Apache Composer (Incubating),2007-10,retired
concerted,Apache Concerted is a Do-It-Yourself toolkit for building in-memory data engines.,2016-04,http://concerted.incubator.apache.org/,Apache Concerted (Incubating),2015-10,retired
cordova,"Apache Cordova is a platform for building native mobile applications using HTML, CSS and JavaScript (formerly Phonegap). The project entered incubation as Callback, but decided to change its name to Cordova on 2011-11-28.",2012-10,http://cordova.incubator.apache.org/,Apache Cordova (Incubating),2011-10,graduated
corinthia,"Corinthia is a toolkit/application for converting between and editing common office file formats, with an initial focus on word processing. It is designed to cater for multiple classes of platforms - desktop, web, and mobile - and relies heavily on web technologies such as HTML, CSS, and JavaScript for representing and manipulating documents. The toolkit is small, portable, and flexible, with minimal dependencies. The target audience is developers wishing to include office viewing, conversion, and editing functionality into their applications.",2015-11,http://corinthia.incubator.apache.org/,Apache Corinthia (Incubating),2014-12,retired
cotton,Cotton is an Apache Mesos framework for running MySQL instances. (Formerly known as Mysos),2015-12,http://cotton.incubator.apache.org/,Apache Cotton (Incubating),2015-06,retired
couchdb,CouchDB,2008-11,http://couchdb.incubator.apache.org/,Apache CouchDB (Incubating),2008-02,graduated
crail,Crail is a storage platform for sharing performance critical data in distributed data processing jobs at very high speed.,2022-06,http://crail.incubator.apache.org/,Apache Crail (Incubating),2017-11,retired
crunch,"Crunch is a Java library for writing, testing, and running pipelines of MapReduce jobs on Apache Hadoop.",2013-02,http://crunch.incubator.apache.org/,Apache Crunch (Incubating),2012-05,graduated
ctakes,cTAKES (clinical Text Analysis and Knowledge Extraction System) is an natural language processing tool for information extraction from electronic medical record clinical free-text.,2013-03,http://ctakes.incubator.apache.org/,Apache cTAKES (Incubating),2012-06,graduated
curator,Curator - ZooKeeper client wrapper and rich ZooKeeper framework,2013-09,http://curator.incubator.apache.org/,Apache Curator (Incubating),2013-03,graduated
cxf,The CXF project will create a SOA services framework by merges the ObjectWeb Celtix project and the Codehaus XFire project.,2008-04,http://cxf.incubator.apache.org/,Apache CXF (Incubating),2006-08,graduated
daffodil,Apache Daffodil is an implementation of the Data Format Description Language (DFDL) used to convert between fixed format data and XML/JSON.,2021-02,http://daffodil.incubator.apache.org/,Apache Daffodil (Incubating),2017-08,graduated
datafu,"DataFu provides a collection of Hadoop MapReduce jobs and functions in higher level languages based on it to perform data analysis. It provides functions for common statistics tasks (e.g. quantiles, sampling), PageRank, stream sessionization, and set and bag operations. DataFu also provides Hadoop jobs for incremental data processing in MapReduce.",2018-02,http://datafu.incubator.apache.org/,Apache DataFu (Incubating),2014-01,graduated
datalab,"DataLab is a platform for creating self-service, exploratory data science environments in the cloud using best-of-breed data science tools.",2023-08,http://datalab.incubator.apache.org/,Apache DataLab (Incubating),2018-08,retired
datasketches,"DataSketches is an open source, high-performance library of stochastic streaming algorithms commonly called ""sketches"" in the data sciences. Sketches are small, stateful programs that process massive data as a stream and can provide approximate answers, with mathematical guarantees, to computationally difficult queries orders-of-magnitude faster than traditional, exact methods.",2020-12,http://datasketches.incubator.apache.org/,Apache DataSketches (Incubating),2019-03,graduated
deltacloud,"Deltacloud, cloud API (REST) and abstraction framework",2011-10,http://deltacloud.incubator.apache.org/,Apache Deltacloud (Incubating),2010-05,graduated
deltaspike,DeltaSpike is a collection of JSR-299 (CDI) Extensions for building applications on the Java SE and EE platforms.,2013-05,http://deltaspike.incubator.apache.org/,Apache DeltaSpike (Incubating),2011-12,graduated
depot,"Integrated tools for automating downloading, publishing and managing software artifacts, along with tools for manipulating their metadata.",2004-10,http://depot.incubator.apache.org/,Apache Depot (Incubating),2003-12,retired
derby,Java relational database,2005-07,http://derby.incubator.apache.org/,Apache Derby (Incubating),2004-08,graduated
devicemap,"Apache DeviceMap is a data repository containing device information, images and other relevant information for all sorts of mobile devices, e.g. smartphones and tablets. While the focus is initially on that data, APIs will also be created to use and manage it.",2014-11,http://devicemap.incubator.apache.org/,Apache DeviceMap (Incubating),2012-01,graduated
directmemory,DirectMemory's main purpose is to to act as a second level cache able to store large amounts of data without filling up the Java heap and thus avoiding long garbage collection cycles.,2012-08,http://directmemory.incubator.apache.org/,Apache DirectMemory (Incubating),2011-10,graduated
directory,Directory projects.,2005-02,http://directory.incubator.apache.org/,Apache Directory (Incubating),2003-10,graduated
distributedlog,"DistributedLog is a high-performance replicated log service. It offers durability, replication and strong consistency, which provides a fundamental building block for building reliable distributed systems.",2017-07,http://distributedlog.incubator.apache.org/,Apache DistributedLog (Incubating),2016-06,graduated
dolphinscheduler,DolphinScheduler is a distributed ETL scheduling engine with powerful DAG visualization interface..,2021-03,http://dolphinscheduler.incubator.apache.org/,Apache DolphinScheduler (Incubating),2019-08,graduated
doris,Doris is a MPP-based interactive SQL data warehousing for reporting and analysis.,2022-06,http://doris.incubator.apache.org/,Apache Doris (Incubating),2018-07,graduated
drill,"Drill is a distributed system for interactive analysis of large-scale datasets, inspired by Google's Dremel.",2014-11,http://drill.incubator.apache.org/,Apache Drill (Incubating),2012-08,graduated
droids,Droids aims to be an intelligent standalone robot framework that allows to create and extend existing droids (robots).,2015-11,http://droids.incubator.apache.org/,Apache Droids (Incubating),2008-10,retired
druid,"Druid is a high-performance, column-oriented, distributed data store.",2019-12,http://druid.incubator.apache.org/,Apache Druid (Incubating),2018-02,graduated
dubbo,"Dubbo is a high-performance, lightweight, java based RPC framework.",2019-05,http://dubbo.incubator.apache.org/,Apache Dubbo (Incubating),2018-02,graduated
eagle,"Apache Eagle is an open source analytics solution for identifying security and performance issues instantly on big data platforms, e.g. Apache Hadoop, Apache Spark. It analyzes data activities, yarn applications, jmx metrics, and daemon logs etc., provides state-of-the-art alert engine to identify security breach, performance issues and shows insights.",2016-12,http://eagle.incubator.apache.org/,Apache Eagle (Incubating),2015-10,graduated
easyant,Easyant is a build system based on Apache Ant and Apache Ivy.,2013-03,http://easyant.incubator.apache.org/,Apache EasyAnt (Incubating),2011-01,graduated
echarts,ECharts is a charting and data visualization library written in JavaScript.,2020-12,http://echarts.incubator.apache.org/,Apache ECharts (Incubating),2018-01,graduated
edgent,Edgent is a stream processing programming model and lightweight runtime to execute analytics at devices on the edge or at the gateway. (Formerly known as Quarks),2019-11,http://edgent.incubator.apache.org/,Apache Edgent (Incubating),2016-02,retired
empire-db,Data persistence component.,2012-01,http://empire-db.incubator.apache.org/,Apache Empire-db (Incubating),2008-07,graduated
esme,"Enterprise Social Messaging Experiment (ESME) is a secure and highly scalable microsharing and micromessaging platform that allows people to discover and meet one another and get controlled access to other sources of information, all in a business process context.",2010-12,http://esme.incubator.apache.org/,Apache ESME (Incubating),2008-12,graduated
etch,"A cross-platform, language- and transport-independent framework for building and consuming network services.",2013-01,http://etch.incubator.apache.org/,Apache Etch (Incubating),2008-09,graduated
eventmesh,EventMesh is a new generation serverless event middleware for building distributed event-driven applications.,2023-02,http://eventmesh.incubator.apache.org/,Apache EventMesh (Incubating),2021-02,graduated
falcon,"A data processing and management solution for Hadoop designed for data motion, coordination of data pipelines, lifecycle management, and data discovery.",2014-12,http://falcon.incubator.apache.org/,Apache Falcon (Incubating),2013-03,graduated
felix,Implementation of the OSGi R4 specification. (Formerly known as Oscar),2007-04,http://felix.incubator.apache.org/,Apache Felix (Incubating),2005-07,graduated
fineract,Fineract is an open source system for core banking as a platform.,2017-04,http://fineract.incubator.apache.org/,Apache Fineract (Incubating),2015-12,graduated
flagon,Flagon is a software tool usability testing platform,2023-04,http://flagon.incubator.apache.org/,Apache Flagon (Incubating),2016-07,graduated
flex,Application framework for building Flash-based applications.,2012-12,http://flex.incubator.apache.org/,Apache Flex (Incubating),2011-12,graduated
flink,"Flink is an open source system for expressive, declarative, fast, and efficient data analysis. Stratosphere combines the scalability and programming flexibility of distributed MapReduce-like platforms with the efficiency, out-of-core execution, and query optimization capabilities found in parallel databases.  Flink was originally known as Stratosphere when it entered the Incubator.",2014-12,http://flink.incubator.apache.org/,Apache Flink (Incubating),2014-04,graduated
flume,"Flume is a distributed, reliable, and available system for efficiently collecting, aggregating, and moving large amounts of log data from many different sources to a centralized data store.",2012-06,http://flume.incubator.apache.org/,Apache Flume (Incubating),2011-06,graduated
fluo,Fluo is a distributed system for incrementally processing large data sets stored in Accumulo.,2017-07,http://fluo.incubator.apache.org/,Apache Fluo (Incubating),2016-05,graduated
freemarker,"FreeMarker is a template engine, i.e. a generic tool to generate text output based on templates. FreeMarker is implemented in Java as a class library for programmers.",2018-03,http://freemarker.incubator.apache.org/,Apache FreeMarker (Incubating),2015-07,graduated
ftpserver,A complete FTP Server based on Mina I/O system.,2007-12,http://ftpserver.incubator.apache.org/,Apache FtpServer (Incubating),2003-03,graduated
gearpump,Gearpump is a reactive real-time streaming engine based on the micro-service Actor model.,2018-09,http://gearpump.incubator.apache.org/,Apache Gearpump (Incubating),2016-03,retired
geode,"Geode is a data management platform that provides real-time, consistent access to data-intensive applications throughout widely distributed cloud architectures.",2016-11,http://geode.incubator.apache.org/,Apache Geode (Incubating),2015-04,graduated
geronimo,J2EE Container,2004-05,http://geronimo.incubator.apache.org/,Apache Geronimo (Incubating),2003-08,graduated
giraph,"Giraph is a large-scale, fault-tolerant, Bulk Synchronous Parallel (BSP)-based graph processing framework.",2012-05,http://giraph.incubator.apache.org/,Apache Giraph (Incubating),2011-08,graduated
gobblin,"Gobblin is a distributed data integration framework that simplifies common aspects of big data integration such as data ingestion, replication, organization and lifecycle management for both streaming and batch data ecosystems.",2021-01,http://gobblin.incubator.apache.org/,Apache Gobblin (Incubating),2017-02,graduated
gora,Gora is an ORM framework for column stores such as Apache HBase and Apache Cassandra with a specific focus on Hadoop.,2012-01,http://gora.incubator.apache.org/,Apache Gora (Incubating),2010-09,graduated
gossip,Gossip is an implementation of the Gossip Protocol.,2018-08,http://gossip.incubator.apache.org/,Apache Gossip (Incubating),2016-04,retired
graffito,Portal oriented Content Management System (Formerly known as JCMS),2007-07,http://graffito.incubator.apache.org/,Apache Graffito (Incubating),2004-09,retired
griffin,Griffin is a open source Data Quality solution for distributed data systems at any scale in both streaming or batch data context,2018-11,http://griffin.incubator.apache.org/,Apache Griffin (Incubating),2016-12,graduated
groovy,"Groovy is an object-oriented programming language for the Java platform. It is a language with features similar to those of Python, Ruby, Java, Perl, and Smalltalk.",2015-11,http://groovy.incubator.apache.org/,Apache Groovy (Incubating),2015-03,graduated
guacamole,"Guacamole is an enterprise-grade, protocol-agnostic, remote desktop gateway. Combined with cloud hosting, Guacamole provides an excellent alternative to traditional desktops. Guacamole aims to make cloud-hosted desktop access preferable to traditional, local access.",2017-11,http://guacamole.incubator.apache.org/,Apache Guacamole (Incubating),2016-02,graduated
hama,"Hama is a distributed computing framework based on BSP (Bulk Synchronous Parallel) computing techniques for massive scientific computations, e.g., matrix, graph and network algorithms.",2012-05,http://hama.incubator.apache.org/,Apache Hama (Incubating),2008-05,graduated
harmony,Compatible implementation of J2SE,2006-10,http://harmony.incubator.apache.org/,Apache Harmony (Incubating),2005-05,graduated
hawq,HAWQ is an advanced enterprise SQL on Hadoop analytic engine built around a robust and high-performance massively-parallel processing (MPP) SQL framework evolved from Pivotal Greenplum Database.,2018-08,http://hawq.incubator.apache.org/,Apache HAWQ (Incubating),2015-09,graduated
hcatalog,HCatalog is a table and storage management service for data created using Apache Hadoop.,2013-02,http://hcatalog.incubator.apache.org/,Apache HCatalog (Incubating),2011-03,graduated
hdt,Eclipse based tools for developing applications on the Hadoop platform,2014-12,http://hdt.incubator.apache.org/,Apache Hadoop Development Tools (HDT) (Incubating),2012-11,retired
helix,"Apache Helix is a generic cluster management framework used to build distributed systems and provides automatic partition management, fault tolerance and elasticity.",2013-12,http://helix.incubator.apache.org/,Apache Helix (Incubating),2012-10,graduated
heraldry,Identity for the rest of us.,2007-06,http://heraldry.incubator.apache.org/,Apache Heraldry (Incubating),2005-07,retired
hermes,A robust implementation of the OASIS WS-Notification (WSN) family of specifications,2005-06,http://hermes.incubator.apache.org/,Apache Hermes (Incubating),2004-11,graduated
heron,"A real-time, distributed, fault-tolerant stream processing engine.",2023-01,http://heron.incubator.apache.org/,Apache Heron (Incubating),2017-06,retired
hise,HISE,2012-02,http://hise.incubator.apache.org/,Apache HISE (Incubating),2009-11,retired
hivemall,Hivemall is a library for machine learning implemented as Hive UDFs/UDAFs/UDTFs.,2022-09,http://hivemall.incubator.apache.org/,Apache Hivemall (Incubating),2016-09,retired
hop,"Hop is short for the Hop Orchestration Platform. Written completely in Java it aims to provide a wide range of data orchestration tools, including a visual development environment, servers, metadata analysis, auditing services and so on. As a platform, Hop also wants to be a reusable library so that it can be easily reused by other software.",2021-12,http://hop.incubator.apache.org/,Apache Hop (Incubating),2020-09,graduated
horn,"HORN is a neuron-centric programming APIs and execution framework for large-scale deep learning, built on top of Apache Hama.",2017-07,http://horn.incubator.apache.org/,Apache HORN (Incubating),2015-09,retired
htrace,HTrace is a tracing framework intended for use with distributed systems written in java.,2018-04,http://htrace.incubator.apache.org/,Apache HTrace (Incubating),2014-11,retired
httpd-cli,CLI integration project for httpd server,2004-12,http://httpd-cli.incubator.apache.org/,Apache httpd-CLI (Incubating),2004-07,graduated
hudi,Hudi provides atomic upserts and incremental data streams on Big Data,2020-05,http://hudi.incubator.apache.org/,Apache Hudi (Incubating),2019-01,graduated
ibatis,The iBATIS Data Mapper framework makes it easier to use a database with Java or .NET applications. iBATIS couples objects with stored procedures or SQL statements using a XML descriptor.,2005-04,http://ibatis.incubator.apache.org/,Apache iBATIS (Incubating),2004-08,graduated
iceberg,"Iceberg is a table format for large, slow-moving tabular data.",2020-05,http://iceberg.incubator.apache.org/,Apache Iceberg (Incubating),2018-11,graduated
ignite,"A unified In-Memory Data Fabric providing high-performance, distributed in-memory data management software layer between various data sources and user applications.",2015-09,http://ignite.incubator.apache.org/,Apache Ignite (Incubating),2014-10,graduated
impala,Impala is a high-performance C++ and Java SQL query engine for data stored in Apache Hadoop-based clusters.,2017-11,http://impala.incubator.apache.org/,Apache Impala (Incubating),2015-12,graduated
imperius,Rule-based Management Policy Engine,2011-05,http://imperius.incubator.apache.org/,Apache Imperius (Incubating),2007-11,retired
inlong,"InLong is a one-stop data integration framework that provides automatic, secure, and reliable data transmission capabilities. InLong supports both batch and stream data processing at the same time, which offers great power to build data analysis, modeling, and other real-time applications based on streaming data.",2022-06,http://inlong.incubator.apache.org/,Apache InLong (Incubating),2019-11,graduated
iota,Open source system that enables the orchestration of IoT devices.,2018-02,http://iota.incubator.apache.org/,Apache iota (Incubating),2016-01,retired
iotdb,IoTDB is a data store for managing large amounts of time series data such as timestamped data from IoT sensors in industrial applications.,2020-09,http://iotdb.incubator.apache.org/,Apache IoTDB (Incubating),2018-11,graduated
isis,The Isis project will be an extensible standards-based framework to rapidly develop and enterprise level deploy domain-driven (DDD) applications.,2012-10,http://isis.incubator.apache.org/,Apache Isis (Incubating),2010-09,graduated
ivy,"A java based tool for tracking, resolving and managing project dependencies.",2007-10,http://ivy.incubator.apache.org/,Apache Ivy (Incubating),2006-10,graduated
jackrabbit,Content Repository API based on JSR 170,2006-03,http://jackrabbit.incubator.apache.org/,Apache Jackrabbit (Incubating),2004-08,graduated
jaxme,"Implementation of JAXB, the specification for Java/XML binding",2004-03,http://jaxme.incubator.apache.org/,Apache JaxMe (Incubating),2003-09,graduated
jclouds,A cloud agnostic library that enables developers to access a variety of supported cloud providers using one API,2013-10,http://jclouds.incubator.apache.org/,Apache jclouds (Incubating),2013-04,graduated
jdo,JDO2,2005-12,http://jdo.incubator.apache.org/,Apache JDO (Incubating),2005-05,graduated
jena,Java framework for building Semantic Web applications.,2012-04,http://jena.incubator.apache.org/,Apache Jena (Incubating),2010-11,graduated
johnzon,Implementation of JSR-353 JavaTM API for JSON Processing (Renamed from Fleece),2016-04,http://johnzon.incubator.apache.org/,Apache Johnzon (Incubating),2014-06,graduated
joshua,Joshua is a statistical machine translation toolkit,2018-10,http://joshua.incubator.apache.org/,Apache Joshua (Incubating),2016-02,graduated
jspwiki,Java-based wiki engine,2013-07,http://jspwiki.incubator.apache.org/,Apache JSPWiki (Incubating),2007-09,graduated
juddi,Implementation of a Universal Description Discovery and Integration (UDDI) registry,2004-03,http://juddi.incubator.apache.org/,Apache jUDDI (Incubating),2003-09,graduated
juice,OpenSSL based JCE provider. Project going into retired status after lack of community interest.,2007-10,http://juice.incubator.apache.org/,Apache JuiCE (Incubating),2004-04,retired
juneau,"Apache Juneau is a toolkit for marshalling POJOs to a wide variety of content types using a common framework, and for creating sophisticated self-documenting REST interfaces and microservices using VERY little code.",2017-10,http://juneau.incubator.apache.org/,Apache Juneau (Incubating),2016-06,graduated
kabuki,An AJAX toolkit,2006-06,http://kabuki.incubator.apache.org/,Apache Kabuki (Incubating),2006-01,retired
kafka,Kafka is a distributed publish-subscribe system for processing large amounts of streaming data.,2012-10,http://kafka.incubator.apache.org/,Apache Kafka (Incubating),2011-07,graduated
kalumet,"Kalumet a complete environment manager and deployer including J2EE environments (application servers, applications, etc), softwares, and resources.",2015-11,http://kalumet.incubator.apache.org/,Apache Kalumet (Incubating),2011-09,retired
kato,"Kato is a project to develop the Specification, Reference Implementation, and TCK for JSR 326: the JVM Post-mortem Diagnostics API.",2012-08,http://kato.incubator.apache.org/,Apache Kato (Incubating),2008-11,retired
kitty,"Kitty is a lightweight, production focused, Java-based application server performance diagnostic and management utility.",2012-10,http://kitty.incubator.apache.org/,Apache Kitty (Incubating),2010-10,retired
knox,Knox Gateway is a system that provides a single point of secure access for Apache Hadoop clusters.,2014-02,http://knox.incubator.apache.org/,Apache Knox (Incubating),2013-02,graduated
kudu,Kudu is a distributed columnar storage engine built for the Apache Hadoop ecosystem.,2016-07,http://kudu.incubator.apache.org/,Apache Kudu (Incubating),2015-12,graduated
kvrocks,"Kvrocks is a distributed key-value NoSQL database, supporting the rich data structure",2023-07,http://kvrocks.incubator.apache.org/,Apache Kvrocks (Incubating),2022-04,graduated
kylin,Kylin is a distributed and scalable OLAP engine built on Hadoop to support extremely large datasets.,2015-11,http://kylin.incubator.apache.org/,Apache Kylin (Incubating),2014-11,graduated
kyuubi,"Kyuubi is a distributed multi-tenant Thrift JDBC/ODBC server for large-scale data management, processing, and analytics, built on top of Apache Spark and designed to support more engines.",2022-12,http://kyuubi.incubator.apache.org/,Apache Kyuubi (Incubating),2021-06,graduated
