name,path,description,homepage_url,project,repo_url,logo,twitter,crunchbase,chat_channel,accepted,dev_stats_url,artwork_url,stack_overflow_url,blog_url,mailing_list_url,slack_url,gitter_url,youtube_url,language
Cartography,Security & Compliance,Cartography is a Python tool that consolidates infrastructure assets and the relationships between them in an intuitive graph view.,https://cartography-cncf.github.io/cartography/,sandbox,https://github.com/cartography-cncf/cartography,https://landscape.cncf.io/logos/0fba24c5464a917464cc33194e151c2de051f268d54acd89c5dfa2ec7df0f05d.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2024-08-23,https://cartography.devstats.cncf.io/,,,,,,,,Python
Carvel,Application Definition & Image Build,"Carvel provides a set of reliable, single-purpose, composable tools that aid in your application building, configuration, and deployment to Kubernetes.",https://carvel.dev,sandbox,https://github.com/carvel-dev/ytt,https://landscape.cncf.io/logos/f5624184479b62b33ca36846db70ba4fba5a113df47082951fc477d0f0700122.svg,https://twitter.com/carvel_dev,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-09-14,https://carvel.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/carvel,https://stackoverflow.com/search?q=carvel&s=f9889d50-ba31-48ca-9919-414b961bd6ce,https://carvel.dev/blog/,,https://kubernetes.slack.com/archives/CH8KCCKA5,,,Go
CDK for Kubernetes (CDK8s),Automation & Configuration,CDK8s lets you define Kubernetes apps and components using familiar programming languages and object-oriented APIs.,https://cdk8s.io/,sandbox,https://github.com/cdk8s-team/cdk8s,https://landscape.cncf.io/logos/78aa70cc04d6f96cb70231a23f4579a49da200065b86f8e868ff8304c5f1bd1c.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-11-10,https://cdk8s.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/cdk8s,,,,,,,JavaScript
cert-manager,Security & Compliance,Automatically provision and manage TLS certificates in Kubernetes,https://cert-manager.io/,graduated,https://github.com/cert-manager/cert-manager,https://landscape.cncf.io/logos/c6157a6b28e98c27bfb901380e50f1e3a62ccb686c50618aaf101b4dc66be285.svg,https://twitter.com/CertManager,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-11-10,https://certmanager.devstats.cncf.io/,,,,,https://kubernetes.slack.com/messages/cert-manager,,https://www.youtube.com/@cert-manager,Go
Chaos Mesh,Chaos Engineering,A Chaos Engineering Platform for Kubernetes.,https://chaos-mesh.org/,incubating,https://github.com/chaos-mesh/chaos-mesh,https://landscape.cncf.io/logos/b82c99a89900481623bd5963490dcda6c2c8955286bdf60a13e6aa422536d562.svg,https://twitter.com/chaos_mesh,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-07-14,https://chaosmesh.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#chaos-mesh-logos,,https://chaos-mesh.org/blog/,,https://join.slack.com/t/cloud-native/shared_invite/zt-fyy3b8up-qHeDNVqbz1j8HDY6g1cY4w,,https://www.youtube.com/channel/UC4OwT4QTd0ML3YNnV1ybT6g,Go
Chaosblade,Chaos Engineering,An easy to use and powerful chaos engineering experiment toolkit.（阿里巴巴开源的一款简单易用、功能强大的混沌实验注入工具）,https://chaosblade.io/,sandbox,https://github.com/chaosblade-io/chaosblade,https://landscape.cncf.io/logos/caa1f058080a24732f722144452f3a67dcb0dd541457197ef20b523321a74f30.svg,https://twitter.com/ChaosbladeI,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-04-28,,,,,,,,,Go
Cilium,Cloud Native Network,"eBPF-based Networking, Security, and Observability",https://cilium.io/,graduated,https://github.com/cilium/cilium,https://landscape.cncf.io/logos/6b052d96054bbe311b0429d2267d60b92b1c5e6527e6646c0bf2fc06a55e2f43.svg,https://twitter.com/ciliumproject,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-10-13,https://cilium.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#cilium-logos,https://stackoverflow.com/questions/tagged/cilium,,,https://cilium.herokuapp.com/,,,Go
Cloud Custodian,Automation & Configuration,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources",https://cloudcustodian.io/,incubating,https://github.com/cloud-custodian/cloud-custodian,https://landscape.cncf.io/logos/38807f329f5a2088305013eceb5b6fe8349c808aae92aac700fc2b50f8d03921.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-06-25,https://cloudcustodian.devstats.cncf.io/,,,,,,,,Python
CloudEvents,Streaming & Messaging,Standardizing common eventing metadata and their location to help with event identification and routing.,https://cloudevents.io/,graduated,https://github.com/cloudevents/spec,https://landscape.cncf.io/logos/bf6283eac7e14f6e3a119e9276a5215e47cd79f8971eb6d32e99b8d601f05e23.svg,https://twitter.com/cloudeventsio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2018-05-15,https://cloudevents.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#cloudevents-logos,https://stackoverflow.com/questions/tagged/cloudevents,,,https://cloud-native.slack.com/messages/cloudevents,,,Python
Clusternet,Scheduling & Orchestration,"[CNCF Sandbox Project] Managing your Kubernetes clusters (including public, private, edge, etc.) as easily as visiting the Internet",https://clusternet.io,sandbox,https://github.com/clusternet/clusternet,https://landscape.cncf.io/logos/6d3bc10948133ab516e83603c54bdce1a5e1624e1bedd8797006bcf782cccebd.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2023-03-07,https://clusternet.devstats.cncf.io/,,,,,https://cloud-native.slack.com/messages/clusternet,,,Go
Clusterpedia,Scheduling & Orchestration,"Clusterpedia is used for complex resources search across multiple clusters, support simultaneous search of a single kind of resource  or multiple kinds of resources existing in multiple clusters.",https://clusterpedia.io,sandbox,https://github.com/clusterpedia-io/clusterpedia,https://landscape.cncf.io/logos/becd751ec856f5d795091be283487e119702e66bbf1db2ae3a289149bba730a0.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-06-17,https://clusterpedia.devstats.cncf.io/,,,,,https://cloud-native.slack.com/messages/clusterpedia,,,Go
CNI-Genie,Cloud Native Network,"CNI-Genie for choosing pod network of your choice during deployment time. Supported pod networks - Calico, Flannel, Romana, Weave ",https://cnigenie.netlify.app,sandbox,https://github.com/cni-genie/CNI-Genie,https://landscape.cncf.io/logos/4e517cb098ea2e47ff1c36d5b66e8780e998a1053d08ea7864e6438477764949.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-06-25,https://cnigenie.devstats.cncf.io/,,,,,,,,Go
Confidential Containers,Security & Compliance,Confidential Containers is an open source community working to enable cloud native  confidential computing by leveraging Trusted Execution Environments to protect  containers and data.,https://confidentialcontainers.org/,sandbox,https://github.com/confidential-containers/confidential-containers,https://landscape.cncf.io/logos/3b94e1452f9b3887866a31042c2f972a5f6f2c884a6336a3d787a35abcbb0c04.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#confidential-containers,2022-03-08,https://confidentialcontainers.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/confidential-containers,,https://confidentialcontainers.org/blog/,,https://cloud-native.slack.com/,,https://www.youtube.com/@confidentialcontainers3845,
Connect RPC,Remote Procedure Call,Connect is a family of libraries for building browser and gRPC-compatible HTTP APIs.,https://connectrpc.com/,sandbox,https://github.com/connectrpc/connect-go,https://landscape.cncf.io/logos/5f1172e8694f236bc53c0f25b1cf6255941c46d4d079ee480927d00afa731306.svg,https://twitter.com/connectrpc,https://www.crunchbase.com/organization/buf-technologies,,2024-04-13,https://connect.devstats.cncf.io,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#connect-rpc-logos,,https://buf.build/blog,,,,,Go
Container Network Interface (CNI),Cloud Native Network,Container Network Interface - networking for Linux containers,https://www.cni.dev/,incubating,https://github.com/containernetworking/cni,https://landscape.cncf.io/logos/bd68f9ae32a75e7a125d5950df8caa2d50b7b9230aace569b9f2c5032cab41f6.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-05-23,https://cni.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#cni-logos,https://stackoverflow.com/questions/tagged/cni,,https://groups.google.com/forum/#!forum/cni-dev,https://containernetworking.slack.com,,,Go
containerd,Container Runtime,An open and reliable container runtime,https://containerd.io/,graduated,https://github.com/containerd/containerd,https://landscape.cncf.io/logos/f26381b645b2f14293a2a597bc98b5bbe1e5e086029de41830ba7c667353bf3e.svg,https://twitter.com/containerd,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#containerd,2017-03-29,https://containerd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#containerd-logos,https://stackoverflow.com/questions/tagged/containerd,,,https://slack.cncf.io/,,,Go
ContainerSSH,Security & Compliance,"ContainerSSH launches a new container for each SSH connection in Kubernetes, Podman or Docker. The user is transparently dropped in the container and the container is removed when the user disconnects. Authentication and container configuration are dynamic using webhooks, no system users required.",https://containerssh.io,sandbox,https://github.com/containerssh/containerssh,https://landscape.cncf.io/logos/adc1c159aef3ffe90437f3f435f3cec31111192a24a11893d90ff5a5971b9a8e.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#containerssh,2022-09-14,https://containerssh.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/containerssh,,,,https://cloud-native.slack.com/,,,Go
Contour,Service Proxy,Contour is a Kubernetes ingress controller using Envoy proxy.,https://projectcontour.io,incubating,https://github.com/projectcontour/contour,https://landscape.cncf.io/logos/11e886c3866c61ad5b90421f878ce2ea25c98c3951084d935c5f079074330daf.svg,https://twitter.com/projectcontour,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-07-07,https://contour.devstats.cncf.io/,,,,,https://kubernetes.slack.com/messages/contour,,,Go
Copa,Security & Compliance,🧵 CLI tool for directly patching container images!,https://github.com/project-copacetic/copacetic,sandbox,https://github.com/project-copacetic/copacetic,https://landscape.cncf.io/logos/012ec2df51a4bfd3fb65ede4c16c4dd2a79c585bbd057a30fadf7e233d4f5238.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#copa,2023-09-19,https://copacetic.devstats.cncf.io/,https://github.com/cncf/artwork/tree/main/projects/copa,,,,https://cloud-native.slack.com/,,,Go
CoreDNS,Coordination & Service Discovery,CoreDNS is a DNS server that chains plugins,https://coredns.io/,graduated,https://github.com/coredns/coredns,https://landscape.cncf.io/logos/9f366c2d009f0fc6fa4dd5fbfc4dbb462f3d20a09c534d3e4ced67dcb9b092b1.svg,https://twitter.com/corednsio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-02-27,https://coredns.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#coredns-logos,https://stackoverflow.com/questions/tagged/coredns,https://coredns.io/blog/,https://groups.google.com/forum/#!forum/coredns-discuss,https://cloud-native.slack.com/messages/coredns/,,https://www.youtube.com/channel/UCbWRJZxiaQ8twm6sh7UymoQ,Go
Cortex,Observability,"A horizontally scalable, highly available, multi-tenant, long term Prometheus.",https://cortexmetrics.io/,incubating,https://github.com/cortexproject/cortex,https://landscape.cncf.io/logos/bf5fe4e2ef7bdef74a70cd072991171e5afb5c4153245109e706bc4b0cb8a7b7.svg,https://twitter.com/cortexmetrics,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2018-09-20,https://cortex.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#cortex-logos,,,,https://cloud-native.slack.com/messages/cortex/,,,Go
Cozystack,PaaS/Container Service,Cozystack is a free PaaS platform and framework for building clouds.,https://cozystack.io,sandbox,https://github.com/cozystack/cozystack,https://landscape.cncf.io/logos/e5dd97bd8cb22b89b96bec6291331b2352a2ad680c364f5a82f60aa55c662618.svg,,,,,,,,,,,,,Smarty
CRI-O,Container Runtime,Open Container Initiative-based implementation of Kubernetes Container Runtime Interface,https://cri-o.io/,graduated,https://github.com/cri-o/cri-o,https://landscape.cncf.io/logos/710f6a5529c3084bf79e0584c92e2334ffd011714df93de4beb6de5af7f7b3ee.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2019-04-08,https://crio.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#cri-o-logos,https://stackoverflow.com/questions/tagged/cri-o,https://medium.com/cri-o,,https://kubernetes.slack.com/messages/CAZH62UR1,,,Go
Crossplane,Scheduling & Orchestration,Crossplane is the cloud native control plane framework that allows you to build control planes without needing to write code. Crossplane has a highly extensible backend that enables you to orchestrate applications and infrastructure no matter where they run and a highly configurable frontend that lets you define the declarative API it offers.,https://crossplane.io/,incubating,https://github.com/crossplane/crossplane,https://landscape.cncf.io/logos/c43855293d114dcad77461e7e5af20cf26023e365619f5d4abb54942b51ffc8a.svg,https://twitter.com/crossplane_io,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-06-25,https://crossplane.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#crossplane,,,,,,https://www.youtube.com/channel/UC19FgzMBMqBro361HbE46Fw,Go
CubeFS,Cloud Native Storage,cloud-native distributed storage,https://cubefs.io/,graduated,https://github.com/cubeFS/cubefs,https://landscape.cncf.io/logos/b92a57819da9dd521189017d84cbf4d4405c55355fbe7bb7137f5f5b38305c0e.svg,https://twitter.com/ChubaoFS,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2019-12-16,https://chubaofs.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#cubefs-logos,,,,https://cubefs.slack.com/,,,Go
Curiefense,Security & Compliance,CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.,https://www.curiefense.io/,archived,,https://landscape.cncf.io/logos/0f6f7217f874928606894d925440e0cebcffda2fcac1f2882d9118c4a910ed0b.svg,https://twitter.com/curiefense,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-01-26,https://curiefense.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/curiefense,,https://www.curiefense.io/blog,,,,,
Curve,Cloud Native Storage,"Curve is a distributed storage system designed and developed independently by NetEase,  featured with high performance, high availability, high reliability and well expansibility,  and it can serve as the basis for storage systems designed for different scenario.",http://www.opencurve.io/,archived,https://github.com/opencurve/curve,https://landscape.cncf.io/logos/9f899a29e23cdcf3ddd66eb51e7bf402e8d8899fe3e645ddc552bf5dc81b155e.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-06-17,,,,,,,,,C++
Dapr,Application Definition & Image Build,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.",https://dapr.io,graduated,https://github.com/dapr/dapr,https://landscape.cncf.io/logos/5b3a3f211aae4c129ca1aa9bf3cf52cf12fc7fe5a3c6bc44744ca45ccd697597.svg,https://twitter.com/DaprDev,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-11-09,https://dapr.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#dapr-logos,,https://blog.dapr.io/posts,,https://discord.com/invite/ptHhX6jc34,,,Go
Devfile,Application Definition & Image Build,Kube-native API for cloud development workspaces specification,https://devfile.io,sandbox,https://github.com/devfile/api,https://landscape.cncf.io/logos/ee1c46664342421b96fad24e0d31e3c0f0df443b277410448a30e94f713e2bc3.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#devfile,2022-01-11,,,,,,https://kubernetes.slack.com/messages/devfile,,,Go
DevSpace,Application Definition & Image Build,DevSpace - The Fastest Developer Tool for Kubernetes ⚡ Automate your deployment workflow with DevSpace and develop software directly inside Kubernetes.,https://devspace.sh,sandbox,https://github.com/devspace-sh/devspace,https://landscape.cncf.io/logos/bc17b5df55cbd2a4609896aa766ea2e39d1368858443b83357602c9802bcb9a3.svg,https://twitter.com/DevSpace,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#devspace,2022-12-13,,,,,,https://kubernetes.slack.com/messages/devspace,,,Go
DevStream,Automation & Configuration,DevStream: the open-source DevOps toolchain manager (DTM).,https://www.devstream.io/,sandbox,https://github.com/devstream-io/devstream,https://landscape.cncf.io/logos/a2e9c14bfd2fef2b9e3d2c137197674635d061c7457e154ae73889f56cb1979a.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-06-17,https://devstream.devstats.cncf.io/,,,https://blog.devstream.io/,,https://cloud-native.slack.com/messages/devstream,,,Python
Dex,Security & Compliance,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors,https://dexidp.io/,sandbox,https://github.com/dexidp/dex,https://landscape.cncf.io/logos/9c1cf9ce283448caa24a3c992a56b5bbc2e162d1f72256910874687a5e7a2f05.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-06-25,https://dex.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#dex-logos,,,,,,,Go
Distribution,Container Registry,"The toolkit to pack, ship, store, and deliver container content",https://github.com/distribution/distribution,sandbox,https://github.com/distribution/distribution,https://landscape.cncf.io/logos/f0e83028922be6f2bc6d810c0df6bbb9103189d412830e1c079e993fb12d9c93.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-01-26,,,,,,,,,Go
Dragonfly,Container Registry,Dragonfly is an open source P2P-based file distribution and image acceleration system. It is hosted by the Cloud Native Computing Foundation (CNCF) as an Incubating Level Project.,https://d7y.io/,incubating,https://github.com/dragonflyoss/dragonfly,https://landscape.cncf.io/logos/60b07adb6812ca92688c7a1c33b13001022b0dd73cd3b8e64a415e4f003cde16.svg,https://twitter.com/dragonfly_oss,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2018-11-13,https://dragonfly.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#dragonfly-logos,,,https://groups.google.com/g/dragonfly-developers,https://cloud-native.slack.com/messages/dragonfly/,,,Go
Easegress,API Gateway,A Cloud Native traffic orchestration system,https://megaease.com/easegress,sandbox,https://github.com/easegress-io/easegress,https://landscape.cncf.io/logos/75fd964c6b66d1555d09ee0f1942b9698c1a64e9de6f1d66218c6a1b6bc06c94.svg,https://twitter.com/megaease,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2023-12-19,,,,,,,,,Go
Emissary-Ingress,API Gateway,open source Kubernetes-native API gateway for microservices built on the Envoy Proxy,https://www.getambassador.io/,incubating,https://github.com/emissary-ingress/emissary,https://landscape.cncf.io/logos/19518469b70b8e3e3789e07a400f80d60e89bdb23c8017b04515515bbda4f64e.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-04-13,https://emissaryingress.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/emissary-ingress,,,,,,,Python
Envoy,Service Proxy,Cloud-native high-performance edge/middle/service proxy,https://www.envoyproxy.io,graduated,https://github.com/envoyproxy/envoy,https://landscape.cncf.io/logos/1cb1ec893e39b60f7d14dc76c6cc1e597b24be0161c0bdf9f97442fcb8d331f9.svg,https://twitter.com/envoyproxy,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-09-13,https://envoy.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#envoy-logos,https://stackoverflow.com/questions/tagged/envoyproxy,,,https://envoyproxy.slack.com/,,,C++
Eraser,Scheduling & Orchestration,Eraser uses vulnerability data to remove non-running images from all Kubernetes nodes in a cluster.,https://eraser-dev.github.io/eraser/,sandbox,https://github.com/eraser-dev/eraser,https://landscape.cncf.io/logos/04f4bfa23a348de5db052e180a52a2031a3272e09f9b6d3f0081e3121fd03614.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2023-06-30,https://eraser.devstats.cncf.io/,,,,,,,,Go
