project,description,homepage,name,pmc,podling,started
nlpcraft,A Java API for NLU applications,http://nlpcraft.incubator.apache.org/,Apache NLPCraft (Incubating),incubator,True,2020-02
openserverless,"OpenServerless is an open source, cloud-agnostic, serverless platform. It offers a complete environment for serverless applications development, based on Kubernetes. With Apache OpenWhisk as its FaaS engine, it provides an unified developer experience with a plethora of services (SQL or noSQL databases, key-value stores, object storage, LLMs services, function schedulers) managed by the platform's core: the operator, along with tooling (the CLI) to simplify (and interact with) deployments, integrated ide and starter application and optimized runtimes integrated with the staters.",http://openserverless.incubator.apache.org/,Apache OpenServerless (Incubating),incubator,True,2024-06
otava,"
		Otava, a command-line tool, written in Python, that detects statistically significant changes in time-series data stored either in databases or CSV files. Otava entered Incubation as Hunter
        ",http://otava.incubator.apache.org/,Apache Otava (Incubating),incubator,True,2024-11
ozhera,"OzHera is an application observation platform (APM) in the era of cloud native, with the application as its core, integrating capabilities such as metric monitoring, trace tracking, logging, and alerting",http://ozhera.incubator.apache.org/,Apache OzHera (Incubating),incubator,True,2024-07
pegasus,"Pegasus is a distributed key-value storage system which is designed to be simple, horizontally scalable, strongly consistent and high-performance.",http://pegasus.incubator.apache.org/,Apache Pegasus (Incubating),incubator,True,2020-06
polaris,"Polaris is a catalog for data lakes. It provides new levels of choice, flexibility and control over data, with full enterprise security and Apache Iceberg interoperability across a multitude of engines and infrastructure.",http://polaris.incubator.apache.org/,Apache Polaris (Incubating),incubator,True,2024-08
ponymail,"Pony Mail is a mail-archiving, archive viewing, and interaction service, that can be integrated with many email platforms.",http://ponymail.incubator.apache.org/,Apache Pony Mail (Incubating),incubator,True,2016-05
resilientdb,"ResilientDB is a distributed blockchain framework that is open-source, lightweight, modular, and highly performant.",http://resilientdb.incubator.apache.org/,Apache ResilientDB (Incubating),incubator,True,2023-10
seata,"Seata(Simple Extensible Autonomous Transaction Architecture)is an easy-to-use and high-performance distributed transaction solution, used to solve the data consistency problem.",http://seata.incubator.apache.org/,Apache Seata (Incubating),incubator,True,2023-10
stormcrawler,"StormCrawler is a collection of resources for building low-latency, customisable and scalable web crawlers on Apache Storm.",http://stormcrawler.incubator.apache.org/,Apache StormCrawler (Incubating),incubator,True,2024-03
teaclave,Teaclave is a universal secure computing platform.,http://teaclave.incubator.apache.org/,Apache Teaclave (Incubating),incubator,True,2019-08
toree,Toree provides applications with a mechanism to interactively and remotely access Apache Spark.,http://toree.incubator.apache.org/,Apache Toree (Incubating),incubator,True,2015-12
training,"The Training project aims to develop resources which can be used for training purposes in various media formats, languages and for various Apache and non-Apache target projects.",http://training.incubator.apache.org/,Apache Training (Incubating),incubator,True,2019-02
wayang,"Wayang is a cross-platform data processing system that aims at decoupling the business logic of data analytics applications from concrete data processing platforms, such as Apache Flink or Apache Spark. Hence, it tames the complexity that arises from the ""Cambrian explosion"" of novel data processing platforms that we currently witness.",http://wayang.incubator.apache.org/,Apache Wayang (Incubating),incubator,True,2020-12
xtable,XTable is an omni-directional converter for table formats that facilitates interoperability across data processing systems and query engines.,http://xtable.incubator.apache.org/,Apache XTable (Incubating),incubator,True,2024-02
